NAMESPACE                      DEPLOYMENT                                         CONTAINERS                CPU_REQ      CPU_LIM      MEM_REQ      MEM_LIM     
---------------------------------------------------------------------------------------------------------------------------------------------------------
api                            api-simulator                                      app                       100m         4            1Gi          4Gi         
api                            api-simulator-primary                              app                       100m         4            1Gi          4Gi         
api                            app-config                                         app                       100m         4            1Gi          4Gi         
api                            app-config-primary                                 app                       100m         4            1Gi          4Gi         
api                            auth                                               app                       100m         4            750Mi        1000Mi      
api                            auth                                               auth-proxy-app-log        1m           10m          6Mi          60Mi        
api                            auth                                               unathorized-token         1m           10m          6Mi          60Mi        
api                            auth-primary                                       app                       100m         4            750Mi        1000Mi      
api                            auth-primary                                       auth-proxy-app-log        1m           10m          6Mi          60Mi        
api                            auth-primary                                       unathorized-token         1m           10m          6Mi          60Mi        
api                            bff-chatbot                                        app                       40m          2            300Mi        500Mi       
api                            bff-chatbot-primary                                app                       40m          2            300Mi        500Mi       
api                            billpayments                                       app                       100m         4            500Mi        900Mi       
api                            billpayments                                       billpayments-stats-log    1m           10m          6Mi          60Mi        
api                            billpayments-primary                               app                       100m         4            500Mi        900Mi       
api                            billpayments-primary                               billpayments-stats-log    1m           10m          6Mi          60Mi        
api                            card                                               app                       1            4            1500Mi       1500Mi      
api                            card                                               card-infrequent-log       1m           10m          6Mi          60Mi        
api                            card-consumer                                      app                       200m         4            1200Mi       1200Mi      
api                            card-consumer                                      card-infrequent-log       1m           10m          6Mi          60Mi        
api                            card-consumer-primary                              app                       200m         4            1200Mi       1200Mi      
api                            card-consumer-primary                              card-infrequent-log       1m           10m          6Mi          60Mi        
api                            card-primary                                       app                       1            4            1500Mi       1500Mi      
api                            card-primary                                       card-infrequent-log       1m           10m          6Mi          60Mi        
api                            card-worker                                        app                       1            4            1500Mi       1500Mi      
api                            card-worker                                        card-infrequent-log       1m           10m          6Mi          60Mi        
api                            card-worker-primary                                app                       1            4            1500Mi       1500Mi      
api                            card-worker-primary                                card-infrequent-log       1m           10m          6Mi          60Mi        
api                            core-service-outboxpattern-routing                 app                       100m         4            1Gi          4Gi         
api                            core-service-outboxpattern-routing-primary         app                       100m         4            1Gi          4Gi         
api                            data-sharing-api                                   app                       500m         4            1200Mi       1200Mi      
api                            data-sharing-api-primary                           app                       500m         4            1200Mi       1200Mi      
api                            data-sharing-instrumentation                       app                       100m         4            1100Mi       1500Mi      
api                            data-sharing-instrumentation                       api-responses-log         1m           10m          6Mi          60Mi        
api                            data-sharing-instrumentation-primary               app                       100m         4            1100Mi       1500Mi      
api                            data-sharing-instrumentation-primary               api-responses-log         1m           10m          6Mi          60Mi        
api                            feature-flags                                      app                       1            4            1700Mi       1700Mi      
api                            feature-flags                                      features-audit-log        1m           10m          6Mi          60Mi        
api                            feature-flags                                      btg-log                   2m           20m          6Mi          60Mi        
api                            feature-flags-primary                              app                       1            4            1700Mi       1700Mi      
api                            feature-flags-primary                              features-audit-log        1m           10m          6Mi          60Mi        
api                            feature-flags-primary                              btg-log                   2m           20m          6Mi          60Mi        
api                            fraud                                              app                       1            4            1700Mi       1700Mi      
api                            fraud                                              fraud-caixa-log           1m           10m          6Mi          60Mi        
api                            fraud-consumer                                     app                       1200m        4            1700Mi       1700Mi      
api                            fraud-consumer                                     fraud-caixa-log           1m           10m          6Mi          60Mi        
api                            fraud-consumer-primary                             app                       1200m        4            1700Mi       1700Mi      
api                            fraud-consumer-primary                             fraud-caixa-log           1m           10m          6Mi          60Mi        
api                            fraud-primary                                      app                       1            4            1700Mi       1700Mi      
api                            fraud-primary                                      fraud-caixa-log           1m           10m          6Mi          60Mi        
api                            gateway                                            opa                       10m          600m         20Mi         100Mi       
api                            gateway                                            app                       100m         2            500Mi        700Mi       
api                            gateway-primary                                    opa                       10m          600m         20Mi         100Mi       
api                            gateway-primary                                    app                       100m         2            500Mi        700Mi       
api                            insurance-policy-api                               app                       50m          1            256Mi        512Mi       
api                            insurance-policy-api-primary                       app                       50m          1            256Mi        512Mi       
api                            insurance-policy-worker                            app                       50m          1            512Mi        2Gi         
api                            insurance-policy-worker-primary                    app                       50m          1            512Mi        2Gi         
api                            insurance-provider-gateway-api                     app                       50m          1            256Mi        512Mi       
api                            insurance-provider-gateway-api-primary             app                       50m          1            256Mi        512Mi       
api                            insurance-provider-gateway-worker                  app                       50m          1            512Mi        2Gi         
api                            insurance-provider-gateway-worker-primary          app                       50m          1            512Mi        2Gi         
api                            lending                                            app                       500m         4            5000Mi       5000Mi      
api                            lending-consumer                                   app                       500m         4            3000Mi       3000Mi      
api                            lending-consumer-primary                           app                       500m         4            3000Mi       3000Mi      
api                            lending-decision-engine                            app                       100m         4            700Mi        700Mi       
api                            lending-decision-engine-primary                    app                       100m         4            700Mi        700Mi       
api                            lending-instrumentation                            app                       1            4            3000Mi       3000Mi      
api                            lending-instrumentation-primary                    app                       1            4            3000Mi       3000Mi      
api                            lending-primary                                    app                       500m         4            5000Mi       5000Mi      
api                            mqd-proxy                                          app                       100m         500m         128Mi        512Mi       
api                            nginx-deployment                                   nginx                     -            -            -            -           
api                            offers                                             app                       100m         4            1000Mi       1500Mi      
api                            offers-primary                                     app                       100m         4            1000Mi       1500Mi      
